nome,instituicao_ensino_aluno,idade_aluno,anos_pm,ponto_virada,inde,inde_conceito,pedra,destaque_ieg,destaque_ida,destaque_ipv,iaa,ieg,ips,ida,ipp,ipv,ian,ano,fase,turma,sinalizador_ingressante,rec_equipe_1,rec_equipe_2,rec_equipe_3,rec_equipe_4,nivel_ideal,defasagem,ano_ingresso,bolsista,cg,cf,ct,nota_port,nota_mat,nota_ing,qtd_aval,rec_ava_1,rec_ava_2,rec_ava_3,rec_ava_4,indicado_bolsa,grupo_fase,saiu,indicador_outlier,outlier_tipo,atencao,destaque
ALUNO-13,Escola Pública,,,False,3.41,,Quartzo,,,,8.0,0.0,7.5,0.8,0.0,6.0,5.0,2021,0,T,Ingressante,Não avaliado,Não avaliado,Não avaliado,Não avaliado,Nível 1 (4o ano),-1.0,,,,,,,,,,,,,,,Fases 1-7,True,inde,inferior,,
ALUNO-71,Escola Pública,,,,2.4600000000000004,,Quartzo,,,,7.4,0.0,5.0,3.6,0.0,0.0,5.0,2021,0,J,Veterano,Não avaliado,Não avaliado,Não avaliado,Não avaliado,Nível 2 (5o e 6o ano),-2.0,,,,,,,,,,,,,,,Fases 1-7,True,inde,inferior,,
ALUNO-506,Escola Pública,,,,3.06,,Quartzo,,,,7.4,0.0,5.0,4.1,0.0,0.0,10.0,2021,0,J,Veterano,Não avaliado,Não avaliado,Não avaliado,Não avaliado,ALFA  (2o e 3o ano),0.0,,,,,,,,,,,,,,,Fases 1-7,True,inde,inferior,,
ALUNO-966,Escola Pública,,,False,3.3,,Quartzo,,,,8.0,0.0,7.5,0.0,2.5,5.0,5.0,2021,0,K,Ingressante,Não avaliado,Alocado em Fase anterior,Não avaliado,Não avaliado,Nível 2 (5o e 6o ano),-2.0,,,,,,,,,,,,,,,Fases 1-7,True,inde,inferior,,
ALUNO-42,,,,False,4.279765904761905,,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,3.148809523809524,7.5,2.5,0.0,2.50001,10.0,2022,0,E,,,,,,ALFA  (2º e 3º ano),,2021.0,False,849.0,189.0,5.0,2.166666666666667,2.833333333333333,,2.0,Não avaliado,Não avaliado,,,False,Fases 1-7,False,inde,inferior,,
ALUNO-245,,,,False,5.246467903133903,,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,5.765669515669515,7.5,3.8,0.0,6.16666,5.0,2022,0,K,,,,,,Fase 2 (5º e 6º ano),,2022.0,False,808.0,187.0,11.0,2.666666666666667,4.933333333333334,,2.0,Não avaliado,Não avaliado,,,False,Fases 1-7,False,inde,inferior,,
ALUNO-325,,,,False,3.8980647821350765,,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,0.0,4.302832244008714,4.375,1.666666666666667,5.0,6.333325,5.0,2022,0,N,,,,,,Fase 1 (4º ano),,2022.0,False,856.0,190.0,9.0,0.0,3.333333333333333,,2.0,Mantido na Fase atual,Mantido na Fase atual,,,False,Fases 1-7,False,inde,inferior,,
ALUNO-410,,,,False,5.19770335978836,,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,0.0,5.132275132275131,7.5,5.366666666666667,5.3125,6.583325,5.0,2022,0,V,,,,,,Fase 1 (4º ano),,2022.0,False,811.0,188.0,7.0,5.766666666666667,4.966666666666667,,2.0,Mantido na Fase atual,Mantido na Fase atual,,,False,Fases 1-7,False,inde,inferior,,
ALUNO-1063,,,,False,5.552244923076923,,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,4.573717948717949,7.5,4.166666666666667,4.375,6.08333,5.0,2022,0,G,,,,,,Fase 2 (5º e 6º ano),,2021.0,False,783.0,185.0,13.0,5.0,3.333333333333333,,2.0,Mantido na Fase atual,Mantido na Fase atual,,,False,Fases 1-7,False,inde,inferior,,
ALUNO-1305,,,,False,5.313189368606702,,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,3.509700176366843,7.5,2.316666666666667,5.3125,7.083320000000001,5.0,2022,0,F,,,,,,Fase 2 (5º e 6º ano),,2022.0,False,801.0,186.0,10.0,2.333333333333333,2.3,,2.0,Mantido na Fase atual,Mantido na Fase atual,,,False,Fases 1-7,False,inde,inferior,,
ALUNO-160,Escola Pública,10,2,False,4.478057333333334,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.000020000000001,2.3,5.0,0.0,7.291666666666667,7.444443333333333,5.0,2020,1,H,,,,,,,,,,,,,,,,,,,,,,Fases 1-7,True,inde,inferior,,
ALUNO-273,Escola Pública,14,2,False,4.386945333333334,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,4.4,7.5,0.0,7.291666666666667,4.388883333333333,2.5,2020,1,R,,,,,,,,,,,,,,,,,,,,,,Fases 1-7,False,inde,inferior,,
ALUNO-1302,Escola Pública,11,1,False,4.3272233333333325,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.000020000000001,0.9,7.5,0.0,7.083333333333334,6.944439999999998,5.0,2020,1,R,,,,,,,,,,,,,,,,,,,,,,Fases 1-7,False,inde,inferior,,
ALUNO-620,Escola Pública,,,False,2.96,,Quartzo,,,,0.0,1.3,7.5,0.0,6.3,4.1,5.0,2021,1,C,Ingressante,Mantido na Fase atual,Não avaliado,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),-1.0,,,,,,,,,,,,,,,Fases 1-7,True,inde,inferior,,
ALUNO-154,,,,False,4.934497092833093,,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,3.49998,3.797498797498797,7.5,3.75,6.25,5.999996666666666,5.0,2022,1,N,,,,,,Fase 3 (7º e 8º ano),,2019.0,False,828.0,190.0,10.0,4.833333333333333,2.666666666666667,,3.0,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,False,Fases 1-7,False,inde,inferior,,
ALUNO-432,,,,False,4.948613444444445,,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,6.91668,7.222222222222223,5.0,3.75,3.125,3.750005,5.0,2022,1,H,,,,,,Fase 2 (5º e 6º ano),,2020.0,False,826.0,189.0,11.0,3.166666666666667,4.333333333333333,,2.0,Mantido na Fase atual,Mantido na Fase atual,,,False,Fases 1-7,False,inde,inferior,,
ALUNO-602,,,,False,4.971855378033206,,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,3.838441890166029,5.0,2.25,4.375,6.833325,5.0,2022,1,H,,,,,,Fase 3 (7º e 8º ano),,2019.0,False,822.0,188.0,10.0,2.5,2.0,,2.0,Promovido de Fase,Promovido de Fase,,,False,Fases 1-7,False,inde,inferior,,
ALUNO-645,,,,False,4.742008908382067,,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,4.015594541910332,7.5,1.166666666666666,4.166666666666666,5.44444,5.0,2022,1,A,,,,,,Fase 2 (5º e 6º ano),,2020.0,False,837.0,191.0,14.0,1.0,1.333333333333333,,3.0,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,False,Fases 1-7,False,inde,inferior,,
ALUNO-979,,,,False,4.365105849624061,,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,6.91668,3.346365914786967,7.5,2.833333333333333,4.375,3.74999,5.0,2022,1,U,,,,,,Fase 2 (5º e 6º ano),,2022.0,False,845.0,192.0,13.0,2.833333333333333,2.833333333333333,,2.0,Mantido na Fase atual,Mantido na Fase atual,,,False,Fases 1-7,False,inde,inferior,,
ALUNO-202,Escola Pública,12,2,False,3.7799986666666667,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,0.0,2.9,6.875,0.0,6.458333333333334,6.833326666666666,5.0,2020,2,R,,,,,,,,,,,,,,,,,,,,,,Fases 1-7,True,inde,inferior,,
ALUNO-399,Escola Pública,12,0,False,4.233888,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,0.0,4.6,6.875,0.0,7.708333333333334,6.777773333333332,5.0,2020,2,P,,,,,,,,,,,,,,,,,,,,,,Fases 1-7,True,inde,inferior,,
ALUNO-1241,Escola Pública,11,2,False,4.179721333333333,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,0.0,2.1,7.5,0.0,6.875,6.611106666666666,10.0,2020,2,G,,,,,,,,,,,,,,,,,,,,,,Fases 1-7,True,inde,inferior,,
ALUNO-1293,Escola Pública,12,1,False,3.8519446666666672,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,0.0,1.1,7.5,0.0,7.708333333333334,8.055556666666668,5.0,2020,2,C,,,,,,,,,,,,,,,,,,,,,,Fases 1-7,True,inde,inferior,,
ALUNO-241,Escola Pública,,,False,2.8600000000000003,,Quartzo,,,,7.9,0.4,5.6,0.0,4.1,2.6,5.0,2021,2,I,Veterano,Alocado em Fase anterior,Mantido na Fase atual,Não avaliado,Não avaliado,Nível 3 (7o e 8o ano),-1.0,,,,,,,,,,,,,,,Fases 1-7,False,inde,inferior,,
ALUNO-585,Escola Pública,,,False,2.75,,Quartzo,,,,0.0,1.3,4.4,0.4,6.6,5.3,2.5,2021,2,F,Veterano,Mantido na Fase atual,Não avaliado,Mantido na Fase atual,Não avaliado,Nível 5 (1o EM),-3.0,,,,,,,,,,,,,,,Fases 1-7,False,inde,inferior,,
ALUNO-725,Escola Pública,,,False,2.7600000000000002,,Quartzo,,,,0.0,0.4,7.5,0.0,7.5,3.4,5.0,2021,2,M,Veterano,Mantido na Fase atual,Não avaliado,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),-1.0,,,,,,,,,,,,,,,Fases 1-7,True,inde,inferior,,
ALUNO-797,Escola Pública,,,False,2.4699999999999998,,Quartzo,,,,0.0,0.4,6.3,0.0,6.9,4.1,2.5,2021,2,R,Veterano,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 6 (2o EM),-4.0,,,,,,,,,,,,,,,Fases 1-7,True,inde,inferior,,
ALUNO-1232,Escola Pública,,,False,2.72,,Quartzo,,,,0.0,0.8,7.5,0.9,6.3,2.5,5.0,2021,2,H,Veterano,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Nível 3 (7o e 8o ano),-1.0,,,,,,,,,,,,,,,Fases 1-7,True,inde,inferior,,
ALUNO-241,,,,False,4.55608576514307,,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.916679999999999,4.405425492382014,5.0,2.5,4.166666666666666,4.83333,5.0,2022,2,I,,,,,,Fase 3 (7º e 8º ano),,2017.0,False,842.0,154.0,13.0,2.333333333333333,2.666666666666667,,3.0,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,False,Fases 1-7,False,inde,inferior,,
ALUNO-1247,,,,False,3.6331367546967255,,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,0.0,4.978193773483628,5.625,0.6666666666666666,5.416666666666667,4.49999,5.0,2022,2,U,,,,,,Fase 3 (7º e 8º ano),,2022.0,False,860.0,155.0,16.0,0.3333333333333333,1.0,,3.0,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,False,Fases 1-7,False,inde,inferior,,
ALUNO-624,,,,False,3.7379442525252524,,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.08334,3.536931818181818,5.0,1.444444444444444,5.0,3.916675,2.5,2022,4,F,,,,,,Fase 7 (3º EM),,2019.0,False,858.0,75.0,15.0,1.666666666666667,2.666666666666667,0.0,4.0,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Alocado em Fase anterior,False,Fases 1-7,False,inde,inferior,,
ALUNO-1248,,,,False,3.0318062222222224,,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,0.0,0.0,5.0,3.711111111111112,5.3125,3.79167,5.0,2022,4,A,,,,,,Fase 5 (1º EM),,2017.0,True,862.0,76.0,16.0,3.333333333333333,5.5,2.3,4.0,Alocado em Fase anterior,Mantido na Fase atual,Promovido de Fase,Alocado em Fase anterior,False,Fases 1-7,False,inde,inferior,,
ALUNO-293,Escola Pública,,,False,3.0700000000000003,,Quartzo,,,,0.0,3.9,0.0,0.0,5.9,3.5,10.0,2021,5,F,Veterano,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Nível 5 (1o EM),0.0,,,,,,,,,,,,,,,Fases 1-7,False,inde,inferior,,
ALUNO-155,Escola Pública,,,False,5.08,,Quartzo,,,,7.1,5.3,0.0,3.4,8.1,6.6,5.0,2021,6,C,Ingressante,Mantido na Fase + Bolsa,Promovido de Fase,Não avaliado,Não avaliado,Nível 7 (3o EM),-1.0,,,,,,,,,,,,,,,Fases 1-7,True,inde,inferior,,
ALUNO-306,Escola Pública,17,1,False,3.8914599999999995,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,6.66667,1.4,4.375,0.0,5.15625,4.95834,10.0,2020,7,B,,,,,,,,,,,,,,,,,,,,,,Fases 1-7,True,inde,inferior,,
ALUNO-666,Escola Pública,17,2,False,3.831041,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,5.8333200000000005,0.4,7.5,0.0,4.84375,4.66667,10.0,2020,7,A,,,,,,,,,,,,,,,,,,,,,,Fases 1-7,True,inde,inferior,,
ALUNO-206,Escola Pública,,,False,5.15,,Quartzo,,,,8.8,4.2,0.0,2.0,7.7,6.3,10.0,2021,7,A,Veterano,Mantido na Fase atual,Promovido de Fase + Bolsa,Não avaliado,Mantido na Fase atual,Nível 7 (3o EM),0.0,,,,,,,,,,,,,,,Fases 1-7,True,inde,inferior,,
ALUNO-56,,,,False,3.0365733790849676,,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,0.0,3.597794117647059,5.0,0.4444444444444445,3.28125,4.500003333333333,5.0,2022,7,A,,,,,,Fase 8 (Universitários),,2021.0,False,861.0,23.0,15.0,0.5,0.8333333333333334,0.0,4.0,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Alocado em Fase anterior,False,Fases 1-7,False,inde,inferior,,
ALUNO-11,Rede Decisão,,,True,9.0,,Topázio,,,,9.0,10.0,6.3,8.8,7.7,9.7,10.0,2021,1,A,Veterano,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 1 (4o ano),0.0,,,,,,,,,,,,,,,Fases 1-7,False,ian,superior,False,0.0
ALUNO-51,Escola Pública,,,False,8.059999999999999,,Ametista,,,,9.0,9.2,7.5,5.4,7.7,8.6,10.0,2021,1,F,Ingressante,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 1 (4o ano),0.0,,,,,,,,,,,,,,,Fases 1-7,False,ian,superior,False,0.0
ALUNO-76,Escola Pública,,,True,8.86,,Topázio,,,,10.0,10.0,7.5,7.6,7.5,9.2,10.0,2021,1,B,Veterano,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,ALFA  (2o e 3o ano),1.0,,,,,,,,,,,,,,,Fases 1-7,False,ian,superior,False,0.0
ALUNO-84,Escola Pública,,,False,7.87,,Ametista,,,,3.5,10.0,7.5,6.8,7.5,8.3,10.0,2021,1,A,Ingressante,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 1 (4o ano),0.0,,,,,,,,,,,,,,,Fases 1-7,False,ian,superior,False,0.0
ALUNO-103,Escola Pública,,,False,8.09,,Ametista,,,,9.5,8.8,6.3,6.2,7.9,8.6,10.0,2021,1,F,Veterano,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 1 (4o ano),0.0,,,,,,,,,,,,,,,Fases 1-7,False,ian,superior,False,0.0
ALUNO-118,Escola Pública,,,False,8.29,,Topázio,,,,8.5,9.6,7.5,6.9,7.5,8.2,10.0,2021,1,B,Veterano,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 1 (4o ano),0.0,,,,,,,,,,,,,,,Fases 1-7,False,ian,superior,False,0.0
ALUNO-345,Escola Pública,,,False,6.7700000000000005,,Ágata,,,,9.5,5.0,7.5,4.2,7.7,7.3,10.0,2021,1,F,Veterano,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 1 (4o ano),0.0,,,,,,,,,,,,,,,Fases 1-7,False,ian,superior,False,0.0
ALUNO-346,Escola Pública,,,False,4.93,,Quartzo,,,,7.9,3.8,7.5,0.0,7.5,4.4,10.0,2021,1,A,Veterano,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Nível 1 (4o ano),0.0,,,,,,,,,,,,,,,Fases 1-7,True,ian,superior,False,0.0
ALUNO-408,Escola Pública,,,False,8.72,,Topázio,,,,9.0,9.2,8.8,7.2,8.8,8.9,10.0,2021,1,C,Veterano,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 1 (4o ano),0.0,,,,,,,,,,,,,,,Fases 1-7,True,ian,superior,False,0.0
ALUNO-565,Escola Pública,,,True,8.4,,Topázio,,,,10.0,8.8,7.5,5.8,8.1,9.6,10.0,2021,1,N,Ingressante,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 1 (4o ano),0.0,,,,,,,,,,,,,,,Fases 1-7,False,ian,superior,False,0.0
ALUNO-569,Escola Pública,,,False,8.64,,Topázio,,,,10.0,10.0,7.5,7.0,7.5,8.7,10.0,2021,1,B,Ingressante,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 1 (4o ano),0.0,,,,,,,,,,,,,,,Fases 1-7,False,ian,superior,False,0.0
ALUNO-588,Escola Pública,,,False,8.89,,Topázio,,,,10.0,9.6,7.5,7.8,8.8,8.9,10.0,2021,1,E,Veterano,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 1 (4o ano),0.0,,,,,,,,,,,,,,,Fases 1-7,False,ian,superior,False,0.0
ALUNO-615,Escola Pública,,,False,8.38,,Topázio,,,,9.0,8.8,7.5,7.4,7.5,8.7,10.0,2021,1,B,Veterano,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 1 (4o ano),0.0,,,,,,,,,,,,,,,Fases 1-7,False,ian,superior,False,0.0
ALUNO-743,Escola Pública,,,False,8.07,,Ametista,,,,10.0,8.8,5.0,6.4,7.9,8.7,10.0,2021,1,J,Veterano,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 1 (4o ano),0.0,,,,,,,,,,,,,,,Fases 1-7,False,ian,superior,False,0.0
ALUNO-805,Escola Pública,,,False,6.970000000000001,,Ametista,,,,8.5,5.8,7.5,5.1,8.1,6.9,10.0,2021,1,J,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Não avaliado,Nível 1 (4o ano),0.0,,,,,,,,,,,,,,,Fases 1-7,False,ian,superior,False,0.0
ALUNO-807,Escola Pública,,,True,9.18,,Topázio,,,,10.0,10.0,5.0,9.1,9.0,9.8,10.0,2021,1,E,Veterano,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Não avaliado,Nível 1 (4o ano),0.0,,,,,,,,,,,,,,,Fases 1-7,False,ian,superior,False,0.0
ALUNO-866,Rede Decisão,,,True,8.85,,Topázio,,,,8.5,10.0,7.5,8.4,7.7,9.0,10.0,2021,1,A,Veterano,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 1 (4o ano),0.0,,,,,,,,,,,,,,,Fases 1-7,False,ian,superior,False,0.0
ALUNO-885,Escola Pública,,,False,7.760000000000001,,Ametista,,,,10.0,8.3,7.5,3.9,8.1,8.8,10.0,2021,1,J,Ingressante,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 1 (4o ano),0.0,,,,,,,,,,,,,,,Fases 1-7,False,ian,superior,False,0.0
ALUNO-903,Rede Decisão,,,True,9.06,,Topázio,,,,9.0,10.0,7.5,8.3,8.1,9.7,10.0,2021,1,M,Ingressante,Promovido de Fase,Mantido na Fase + Bolsa,Promovido de Fase + Bolsa,Não avaliado,Nível 1 (4o ano),0.0,,,,,,,,,,,,,,,Fases 1-7,False,ian,superior,False,0.0
ALUNO-1022,Escola Pública,,,False,7.22,,Ametista,,,,9.0,9.2,7.5,1.9,7.7,7.9,10.0,2021,1,F,Veterano,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 1 (4o ano),0.0,,,,,,,,,,,,,,,Fases 1-7,False,ian,superior,False,0.0
ALUNO-1031,Escola Pública,,,True,8.870000000000001,,Topázio,,,,9.5,10.0,7.5,8.1,7.5,9.0,10.0,2021,1,B,Veterano,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 1 (4o ano),0.0,,,,,,,,,,,,,,,Fases 1-7,False,ian,superior,False,0.0
ALUNO-1084,Escola Pública,,,False,7.96,,Ametista,,,,8.0,9.6,6.9,5.6,7.9,8.2,10.0,2021,1,F,Veterano,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 1 (4o ano),0.0,,,,,,,,,,,,,,,Fases 1-7,False,ian,superior,False,0.0
ALUNO-1095,Escola Pública,,,True,9.29,,Topázio,,,,10.0,9.2,8.1,8.9,9.2,9.7,10.0,2021,1,C,Veterano,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Não avaliado,ALFA  (2o e 3o ano),1.0,,,,,,,,,,,,,,,Fases 1-7,False,ian,superior,False,0.0
ALUNO-1099,Escola Pública,,,False,8.32,,Topázio,,,,10.0,9.6,6.3,5.9,8.1,8.9,10.0,2021,1,F,Ingressante,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 1 (4o ano),0.0,,,,,,,,,,,,,,,Fases 1-7,False,ian,superior,False,0.0
ALUNO-1204,Escola Pública,,,True,8.8,,Topázio,,,,10.0,9.6,7.5,6.9,8.3,9.6,10.0,2021,1,G,Ingressante,Promovido de Fase,Mantido na Fase atual,Mantido na Fase + Bolsa,Não avaliado,Nível 1 (4o ano),0.0,,,,,,,,,,,,,,,Fases 1-7,False,ian,superior,False,0.0
ALUNO-1285,Escola Pública,,,True,8.42,,Topázio,,,,9.0,10.0,7.5,5.9,7.7,9.1,10.0,2021,1,J,Veterano,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Não avaliado,Nível 1 (4o ano),0.0,,,,,,,,,,,,,,,Fases 1-7,False,ian,superior,False,0.0
ALUNO-46,,,,False,7.398436561403509,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,9.082456140350876,7.5,5.0,6.041666666666667,6.888883333333333,10.0,2022,1,K,,,,,,Fase 1 (4º ano),,2020.0,False,362.0,94.0,7.0,3.666666666666667,6.333333333333333,,3.0,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,False,Fases 1-7,False,ian,superior,False,0.0
ALUNO-76,,,,False,8.306173283950617,,Topázio,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.0,9.419753086419751,7.5,7.166666666666666,5.833333333333334,8.27778,10.0,2022,1,B,,,,,,Fase 1 (4º ano),,2020.0,False,61.0,12.0,1.0,7.333333333333333,7.0,,3.0,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,,False,Fases 1-7,False,ian,superior,False,0.0
ALUNO-122,,,,False,8.265278666666667,,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,10.0,7.5,8.0,6.041666666666667,7.055549999999999,10.0,2022,1,L,,,,,,Fase 1 (4º ano),,2022.0,False,67.0,14.0,1.0,6.5,9.5,,3.0,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,False,Fases 1-7,False,ian,superior,False,0.0
